"고백, 꽃, 늑대",ReX,Piano Ballad,CE,1,3,6,0,1,6,0,10,1,4,7,0,1,3,7,10,124
"고백, 꽃, 늑대 part.2",ReX,Violin Trance,BS,3,8,0,0,4,10,0,13,4,8,11,0,5,11,0,13,112
내게로 와,CLAZZIQUAI,Electro Pop,CE,3,5,8,12,4,0,8,13,2,7,9,0,4,8,12,0,107
너에게,Sweetune,80's Pop,CE,3,6,0,14,2,0,8,14,2,5,9,0,2,7,0,0,102
바람에게 부탁해,Forte Escape,Fantasy R&B,P1,1,7,0,0,6,7,0,0,3,7,9,0,4,8,0,0,106
바람에게 부탁해 ~Live Mix~,Forte Escape,Live Pop,P1,5,0,12,15,6,10,0,0,7,11,0,0,7,0,13,14,161
바람의 기억,Forte Escape,R&B Fantasy,TR,3,8,0,11,3,6,0,0,3,7,0,0,4,9,0,11,148
비상 ~Stay With Me~,Mycin.T,Electronic Rock,RP,4,7,0,0,6,10,0,0,6,10,11,0,7,11,0,0,117
설레임,ND Lee,Cute Pop,P2,3,5,0,0,4,8,0,0,4,7,9,0,6,9,0,0,125
설레임 Part.2,ND Lee,Cute Pop,T3,2,4,8,12,5,8,0,0,4,0,10,0,6,0,11,0,132
아침형 인간,ND Lee,80's 8bit,P1,4,8,0,0,8,9,0,0,6,9,0,0,8,10,0,0,134
염라,ampstyle,,RP,5,12,0,0,6,10,0,15,5,9,13,15,5,10,13,0,131
영원,BEXTER,Modern Rock,CE,4,6,8,0,4,0,8,0,3,6,9,14,2,6,9,13,124
유령,STi,Fusion HipHop,T3,3,5,9,13,4,0,8,13,4,9,0,0,5,10,12,0,122
태권부리,xxdbxx,Happy Core,P2,5,7,0,14,6,0,13,0,6,10,14,0,7,0,13,14,120
피아노 협주곡 1번,Wav Factory,Classic Remix,P1,5,10,0,0,7,11,0,15,7,11,0,15,7,11,0,0,120
혜성,Mycin.T,Pop Dance,RP,3,8,0,0,5,9,0,0,6,10,0,0,5,11,0,0,159
2Nite,ND Lee,Funk,RP,3,6,0,0,4,9,0,0,3,8,0,0,4,8,0,0,126
