바람에게 부탁해,Forte Escape,P1,1,7,0,0,6,7,0,0,3,7,9,0,4,8,0,0
바람에게 부탁해 ~Live Mix~,Forte Escape,P1,5,0,12,15,6,10,0,0,7,11,0,0,7,0,13,14
비상 ~Stay With Me~,Mycin.T,RP,4,7,0,0,6,10,0,0,6,10,11,0,7,11,0,0
설레임,ND Lee,P2,3,5,0,0,4,8,0,0,4,7,9,0,6,9,0,0
아침형 인간,ND Lee,P1,4,8,0,0,8,9,0,0,6,9,0,0,8,10,0,0
염라,ampstyle,RP,5,12,0,0,6,10,0,15,5,9,13,15,5,10,13,0
태권부리,xxdbxx,P2,5,7,0,14,6,0,13,0,6,10,14,0,7,0,13,14
피아노 협주곡 1번,Wav Factory,P1,5,10,0,0,7,11,0,15,7,11,0,15,7,11,0,0
혜성,Mycin.T,RP,3,8,0,0,5,9,0,0,6,10,0,0,5,11,0,0
2Nite,ND Lee,RP,3,6,0,0,4,9,0,0,3,8,0,0,4,8,0,0
A Lie,makou,P2,2,5,0,0,5,9,0,0,4,6,12,0,7,9,0,0
A.I,Forte Escape,P1,4,9,0,0,8,12,0,14,7,11,13,0,8,10,0,14
Alone,Marshmello,RP,6,10,0,0,4,8,0,0,5,8,12,0,5,8,12,0
Always,YUGI / Mool,RP,4,7,0,0,6,9,0,0,5,10,0,0,6,10,0,0
Another DAY,Forte Escape,P2,3,7,11,13,6,8,0,0,5,8,10,13,7,10,0,0
Armored Phantom,ned,RP,3,7,0,0,6,11,0,0,7,9,12,0,6,11,0,0
Astro Fight,Forte Escape,P1,8,13,0,0,8,11,0,15,7,13,14,0,8,12,0,15
Beautiful Day,ND Lee,RP,3,6,8,0,4,8,0,0,2,8,0,0,4,8,0,0
Beyond Yourself,Mycin.T,RP,6,9,0,0,6,10,0,0,7,9,12,0,6,11,0,0
Binary World,Tsukasa,RP,5,8,13,0,5,7,13,15,9,12,13,0,5,7,13,15
BlackCat,BEXTER,RP,5,12,0,0,6,11,0,13,5,8,12,13,7,12,0,0
Bleed,Axol & The Tech Thieves,RP,3,5,0,0,5,9,0,0,5,9,0,0,5,9,0,0
BlythE,M2U,P1,6,10,14,0,6,11,0,15,8,11,14,15,7,0,14,0
Boom!,BEXTER,RP,4,8,12,0,6,8,12,15,5,9,13,0,6,10,13,14
Brain Storm,Croove,P2,6,11,0,15,7,13,15,0,9,14,0,0,8,13,15,15
Brandnew Days,Planetboom,P2,3,8,0,0,6,8,0,0,7,10,11,0,7,10,0,0
Brave it Out,BEXTER,P2,6,8,0,0,5,9,11,0,6,10,13,0,7,10,12,0
Break a Spell,Daisuke Ishiwatari,GG,5,9,14,0,6,10,0,15,7,9,14,15,7,10,14,0
Bright Dream,M2U,P1,2,4,0,0,5,8,0,0,4,7,10,0,6,9,0,0
"Bullet, Wanted!",Mycin.T,RP,4,8,0,0,7,10,0,0,6,9,11,0,7,11,0,0
Bye Bye Love,3rd Coast,P2,2,8,0,0,6,7,0,0,6,9,11,0,6,8,0,0
Can We Talk,Forte Escape,P1,1,7,0,0,7,9,13,0,5,8,11,0,8,9,13,0
Catch Me,Forte Escape,P1,3,6,0,0,6,0,0,0,7,8,0,0,8,12,0,0
Chain of Gravity,Tsukasa,P2,5,12,0,14,5,10,0,0,7,10,12,14,6,12,0,0
Chemical Slave,XeoN,RP,5,11,0,14,6,0,11,0,6,12,0,15,3,8,14,0
Cherokee,xxdbxx,P2,5,8,0,0,7,9,0,14,6,9,13,14,7,10,0,0
Child of Night,GOTH,RP,6,8,0,15,7,9,12,0,7,10,12,15,7,9,12,0
Chrono Breakers,NieN,P1,5,7,11,13,7,10,0,0,7,12,0,13,8,12,0,0
CnP,CRooFE,P1,3,8,12,0,4,9,12,14,4,9,12,0,5,10,12,14
